name,ufc_bouts_1993_2009,years,why_not_in_game,first_event
Lance Gibson,2,2000,"ESPN profile lacks nationality, DOB, height",UFC 24
Larry Cureton,2,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
Luke Caudillo,2,2007,no ESPN profile,UFC 78
Marcus Bossett,2,1994-1996,"ESPN profile lacks nationality, DOB, height",UFC 4
Mark Kerr,2,1997,no ESPN profile,UFC 14
Matt Horwich,2,2008-2009,no ESPN profile,UFC 90
Matt Veach,2,2009,"ESPN profile lacks nationality, DOB",The Ultimate Fighter: Heavyweights Finale
Michael Patt,2,2008-2009,"ESPN profile lacks nationality, DOB",UFC 88
Michihiro Omigawa,2,2007-2008,no ESPN profile,UFC 76
Mike Massenzio,2,2008,no ESPN profile,UFC 92
Mike Nickels,2,2006-2007,no ESPN profile,The Ultimate Fighter 3 Finale
Moti Horenstein,2,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 10
Naoyuki Kotani,2,2007,no ESPN profile,UFC 75
Nate Loughran,2,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
Nick Thompson,2,2005-2006,no ESPN profile,UFC 56
Paul Jones,2,1999,"ESPN profile lacks nationality, DOB, height",UFC 21
Phillip Miller,2,2002,"ESPN profile lacks nationality, DOB, height",UFC 38
Razak Al-Hassan,2,2008-2009,no ESPN profile,UFC 104
Remco Pardoel,2,1994-1995,"ESPN profile lacks nationality, DOB, height",UFC 2
Rick Story,2,2009,no ESPN profile,UFC 103
Rob Yundt,2,2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Roberto Traven,2,1996-2001,no ESPN profile,UFC 11
Roman Mitichyan,2,2007-2008,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Ross Pearson,2,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Ross Pointon,2,2006-2007,no ESPN profile,The Ultimate Fighter 3 Finale
Ryan Thomas,2,2008,no ESPN profile,UFC 87
Sam Fulton,2,1996-1997,"ESPN profile lacks nationality, DOB, height",UFC 11
Sam Morgan,2,2005-2006,no ESPN profile,The Ultimate Fighter 2 Finale
Samy Schiavo,2,2008,"ESPN profile lacks nationality, height",UFC 89
Scott Bessac,2,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
Sean Salmon,2,2007,no ESPN profile,UFC 71
Semmy Schilt,2,2001,ESPN profile lacks nationality,UFC 31
Seth Petruzelli,2,2006-2007,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Steve Judson,2,1999-2000,"ESPN profile lacks nationality, DOB, height",UFC 22
Steve Nelmark,2,1996,"ESPN profile lacks nationality, DOB, height",UFC 9
Tai Bowden,2,1996,"ESPN profile lacks nationality, DOB, height",UFC 9
Tedd Williams,2,2000,"ESPN profile lacks nationality, DOB, height",UFC 24
Tim Hague,2,2009,no ESPN profile,UFC 102
Tom Lawlor,2,2008-2009,ESPN profile complete,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Tom Speer,2,2007-2008,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Travis Fulton,2,1999,no ESPN profile,UFC 20
Travis Wiuff,2,2002-2005,no ESPN profile,UFC 40
Trent Jenkins,2,1993-1995,"ESPN profile lacks nationality, DOB",UFC 1
Valeri Ignatov,2,1999,"ESPN profile lacks nationality, DOB, height",UFC 19
Vernon White,2,2003-2004,no ESPN profile,UFC 43
Victor Valimaki,2,2006-2007,no ESPN profile,UFC 70
Vinny Magalhães,2,2008-2009,no ESPN profile,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
Wes Combs,2,2006,no ESPN profile,The Ultimate Fighter 3 Finale
Xavier Foupa-Pokam,2,2009,no ESPN profile,UFC 97
Aaron Brink,1,2000,"ESPN profile lacks division, nationality, DOB, height",UFC 28
Adrian Serrano,1,2000,no ESPN profile,UFC 26
Adriano Santos,1,1998,"ESPN profile lacks nationality, DOB, height",UFC Brazil
Alberto Cerro Leon,1,1994,no ESPN profile,UFC 2
Alex Andrade,1,2000,no ESPN profile,UFC 26
Alex Schoenauer,1,2005,no ESPN profile,The Ultimate Fighter 1 Finale
Alex Stiebling,1,2000,no ESPN profile,UFC 28
Alexandre Barros,1,2009,no ESPN profile,UFC 93
Alfonso Alcarez,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 22
Allan Góes,1,1998,no ESPN profile,UFC 17
Allen Berube,1,2007,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter 5 Finale
André Pederneiras,1,1999,no ESPN profile,UFC 21
Andy Anderson,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
Andy Wang,1,2007,no ESPN profile,The Ultimate Fighter 5 Finale
Asbel Cancio,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 5
Ben Earwood,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 28
Bill Mahood,1,2005,"ESPN profile lacks division, nationality",UFC 53
Billy Miles,1,2007,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Bob Cook,1,2000,"ESPN profile lacks nationality, DOB, height",UFC 24
Bob Gilstrap,1,1998,no ESPN profile,UFC 17
Bobby Southworth,1,2005,no ESPN profile,The Ultimate Fighter 1 Finale
Brandon Melendez,1,2007,no ESPN profile,The Ultimate Fighter 5 Finale
Brian Cobb,1,2009,no ESPN profile,UFC 95
Brian Gassaway,1,2005,no ESPN profile,UFC 54
Brian Geraghty,1,2007,no ESPN profile,The Ultimate Fighter 5 Finale
CJ Fernandes,1,2000,no ESPN profile,UFC 27
Cale Yarbrough,1,2008,no ESPN profile,UFC Fight Night: Silva vs. Irvin
Cameron Dollar,1,2009,no ESPN profile,The Ultimate Fighter: United States vs. United Kingdom Finale
Carlos Barreto,1,1997,no ESPN profile,UFC 15
Cesar Marscucci,1,1998,"ESPN profile lacks nationality, DOB, height",UFC Brazil
Chase Gormley,1,2009,no ESPN profile,UFC 104
Chris Condo,1,1999,"ESPN profile lacks nationality, DOB, height",UFC 20
Chris Haseman,1,2002,ESPN profile lacks nationality,UFC 38
Chris Liguori,1,2003,no ESPN profile,UFC 45
Cory Walmsley,1,2006,"ESPN profile lacks nationality, DOB, height",UFC 62
Courtney Turner,1,1998,"ESPN profile lacks nationality, DOB, height",UFC 16
Dan Barrera,1,2007,ESPN profile lacks nationality,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Dan Bobish,1,1997,no ESPN profile,UFC 14
Dan Lauzon,1,2006,no ESPN profile,UFC 64
Danillo Villefort,1,2009,no ESPN profile,UFC 101
Dante Rivera,1,2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Darrell Gholar,1,1999,no ESPN profile,UFC 18
Darrill Schoonover,1,2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Dave Berry,1,1996,"ESPN profile lacks nationality, DOB, height",UFC 11
Dave Roberts,1,1999,no ESPN profile,UFC 20
David Baron,1,2008,no ESPN profile,UFC 89
David Hood,1,1995,"ESPN profile lacks nationality, DOB, height",UFC 7
David Levicki,1,1994,"ESPN profile lacks nationality, DOB, height",UFC 2
David Velasquez,1,2000,no ESPN profile,UFC 24
Derek Downey,1,2009,ESPN profile lacks nationality,UFC Fight Night: Lauzon vs. Stephens
Derrick Noble,1,2006,no ESPN profile,UFC 59
Dieuseul Berto,1,1996,no ESPN profile,UFC 10
Dmitri Stepanov,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 13
Donnie Chappell,1,1997,"ESPN profile lacks nationality, DOB, height",UFC 14
Dorian Price,1,2007,"ESPN profile lacks nationality, DOB, height",The Ultimate Fighter: Team Hughes vs. Team Serra Finale
